OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shapearea,Shapelen
1,48,85,31624,48085031624,316.24,Census Tract 316.24,G5020,S,1372394,0,33.0228906,-96.759966,0.000132448,0.051114292
2,48,85,31630,48085031630,316.3,Census Tract 316.30,G5020,S,1962600,0,33.0791782,-96.7300526,0.000189527,0.059182176
3,48,85,31623,48085031623,316.23,Census Tract 316.23,G5020,S,1827606,0,33.0230562,-96.7211515,0.000176381,0.065507545
4,48,85,31625,48085031625,316.25,Census Tract 316.25,G5020,S,2467122,0,33.0338264,-96.7617121,0.000238128,0.062021848
5,48,85,31708,48085031708,317.08,Census Tract 317.08,G5020,S,2337261,17867,32.9928098,-96.8051254,0.000227214,0.066593618
6,48,85,31505,48085031505,315.05,Census Tract 315.05,G5020,S,9100096,54829,33.0898066,-96.6998116,0.000884214,0.167710594
7,48,85,31504,48085031504,315.04,Census Tract 315.04,G5020,S,3130469,0,33.1075966,-96.6391141,0.000302404,0.070515615
8,48,85,31506,48085031506,315.06,Census Tract 315.06,G5020,S,6142178,28861,33.0905501,-96.6711733,0.000596001,0.132948306
9,48,85,32008,48085032008,320.08,Census Tract 320.08,G5020,S,4207646,2601,33.0408055,-96.667044,0.000406416,0.10779145
10,48,85,31805,48085031805,318.05,Census Tract 318.05,G5020,S,5437771,37240,32.9902333,-96.7034743,0.000528202,0.116946372
11,48,85,32012,48085032012,320.12,Census Tract 320.12,G5020,S,1605579,0,33.0360143,-96.6894767,0.000154976,0.053496315
12,48,85,30520,48085030520,305.2,Census Tract 305.20,G5020,S,2750692,0,33.1821731,-96.7937592,0.000265939,0.067896918
13,48,85,30521,48085030521,305.21,Census Tract 305.21,G5020,S,2445522,0,33.1815113,-96.7760686,0.000236433,0.061698008
14,48,85,30524,48085030524,305.24,Census Tract 305.24,G5020,S,5380267,20794,33.2080096,-96.7545497,0.000522347,0.099596262
15,48,85,30519,48085030519,305.19,Census Tract 305.19,G5020,S,27316729,421171,33.2037285,-96.8088805,0.002682241,0.233185499
16,48,85,31621,48085031621,316.21,Census Tract 316.21,G5020,S,4561387,398,33.0186833,-96.7813709,0.000440232,0.087525098
17,48,85,31704,48085031704,317.04,Census Tract 317.04,G5020,S,1544259,0,32.9924767,-96.8365213,0.000148984,0.050421051
18,48,85,31647,48085031647,316.47,Census Tract 316.47,G5020,S,2474207,12341,33.0359512,-96.8367527,0.000240009,0.064601786
